Model,Dataset,Accuracy,F1,Precision,Recall,Preds == 1,Preds == 0,Test_Pos_Count,Test_Neg_Count,True_Pos_Count,True_Neg_Count,False_Pos_Count,False_Neg_Count
HI-EN-ES,test_data/hateval.csv,0.86,0.83,0.84,0.82,366,534,374,526,308,468,58,66
HI-EN-ES,test_data/R_36.csv,0.86,0.27,0.26,0.28,106,989,99,996,28,918,78,71
HI-EN,test_data/hateval.csv,0.92,0.9,0.9,0.91,382,518,374,526,342,486,40,32
HI-EN,test_data/R_36.csv,0.86,0.39,0.32,0.47,145,950,99,996,47,898,98,52
HI-ES,test_data/hateval.csv,0.87,0.85,0.79,0.92,435,465,374,526,345,436,90,29
HI-ES,test_data/R_36.csv,0.81,0.36,0.26,0.57,216,879,99,996,56,836,160,43
EN-ES,test_data/hateval.csv,0.94,0.93,0.92,0.93,378,522,374,526,348,496,30,26
EN-ES,test_data/R_36.csv,0.85,0.28,0.25,0.31,125,970,99,996,31,902,94,68
HI,test_data/hateval.csv,0.86,0.85,0.77,0.95,459,441,374,526,354,421,105,20
HI,test_data/R_36.csv,0.78,0.3,0.21,0.53,247,848,99,996,52,801,195,47
ES,test_data/hateval.csv,0.92,0.9,0.9,0.9,376,524,374,526,338,488,38,36
ES,test_data/R_36.csv,0.85,0.27,0.24,0.31,131,964,99,996,31,896,100,68
EN,test_data/hateval.csv,0.94,0.93,0.94,0.92,367,533,374,526,345,504,22,29
EN,test_data/R_36.csv,0.87,0.37,0.32,0.44,136,959,99,996,44,904,92,55
en1,test_data/hateval.csv,0.95,0.94,0.95,0.94,371,529,374,526,351,506,20,23
en1,test_data/R_36.csv,0.86,0.33,0.29,0.39,134,961,99,996,39,901,95,60
,,,,,,,,,,,,,
HI-EN-ES,test_data/R_63.csv,0.62,0.62,0.89,0.48,279,529,67,33,33,32,1,34
HI-EN,test_data/R_63.csv,0.62,0.62,0.87,0.48,286,522,67,33,34,28,5,33
HI-ES,test_data/R_63.csv,0.67,0.71,0.82,0.63,399,409,67,33,40,28,5,27
EN-ES,test_data/R_63.csv,0.58,0.55,0.89,0.4,236,572,67,33,23,29,4,44
HI,test_data/R_63.csv,0.68,0.73,0.81,0.67,428,380,67,33,43,25,8,24
ES,test_data/R_63.csv,0.6,0.6,0.85,0.46,281,527,67,33,25,27,6,42
EN,test_data/R_63.csv,0.59,0.56,0.89,0.41,241,567,67,33,24,30,3,43
en1,test_data/R_63.csv,0.59,0.57,0.88,0.42,250,558,67,33,23,29,4,44
,,,,,,,,,,,,,
,ETHOS,0.69,0.56,0.71,0.46,,,,,,,,
,,,,,,,,,,,,,
ISO - Encoding,,,,,,,,,,,,,
HI-EN-ES,test_data/R_63.csv,0.59,0.58,0.88,0.43,32,68,65,35,28,31,4,37
HI-EN-ES,test_data/hasoc2019.csv,0.65,0.22,0.18,0.28,161,425,103,483,29,351,132,74
HI-EN-ES,test_data/hasoc2020.csv,0.81,0.14,0.09,0.3,64,307,20,351,6,293,58,14
HI-EN,test_data/R_63.csv,0.58,0.58,0.83,0.45,35,65,65,35,29,29,6,36
HI-EN,test_data/hasoc2019.csv,0.65,0.22,0.18,0.28,162,424,103,483,29,350,133,74
HI-EN,test_data/hasoc2020.csv,0.74,0.09,0.06,0.25,88,283,20,351,5,268,83,15
HI-ES,test_data/R_63.csv,0.63,0.65,0.83,0.54,42,58,65,35,35,28,7,30
HI-ES,test_data/hasoc2019.csv,0.6,0.23,0.18,0.34,200,386,103,483,35,318,165,68
HI-ES,test_data/hasoc2020.csv,0.67,0.12,0.07,0.4,117,254,20,351,8,242,109,12
EN-ES,test_data/R_63.csv,0.53,0.48,0.85,0.34,26,74,65,35,22,31,4,43
EN-ES,test_data/hasoc2019.csv,0.67,0.2,0.18,0.23,136,450,103,483,24,371,112,79
EN-ES,test_data/hasoc2020.csv,0.77,0.08,0.05,0.2,75,296,20,351,4,280,71,16
HI,test_data/R_63.csv,0.65,0.71,0.78,0.65,54,46,65,35,42,23,12,23
HI,test_data/hasoc2019.csv,0.59,0.24,0.18,0.36,210,376,103,483,37,310,173,66
HI,test_data/hasoc2020.csv,0.52,0.12,0.07,0.6,181,190,20,351,12,182,169,8
ES,test_data/R_63.csv,0.59,0.58,0.88,0.43,32,68,65,35,28,31,4,37
ES,test_data/hasoc2019.csv,0.69,0.19,0.18,0.21,123,463,103,483,22,382,101,81
ES,test_data/hasoc2020.csv,0.74,0.13,0.08,0.35,92,279,20,351,7,266,85,13
EN,test_data/R_63.csv,0.52,0.47,0.84,0.32,25,75,65,35,21,31,4,44
EN,test_data/hasoc2019.csv,0.7,0.22,0.2,0.23,120,466,103,483,24,387,96,79
EN,test_data/hasoc2020.csv,0.78,0.13,0.08,0.3,75,296,20,351,6,282,69,14
en1,test_data/R_63.csv,0.52,0.47,0.84,0.32,25,75,65,35,21,31,4,44
en1,test_data/hasoc2019.csv,0.69,0.18,0.17,0.18,114,472,103,483,19,388,95,84
en1,test_data/hasoc2020.csv,0.77,0.13,0.08,0.3,76,295,20,351,6,281,70,14
